
1, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 4, 2, 1, 7, 28, 5, 39, 3, 4, 12, 71, 2, 1, 47, 1, 55, 4, 187, 149, 88, 261, 17, 5, 13, 36, 1, 103, 15, 43, 161, 3, 1, 114, 17, 280, 30, 151, 83, 438, 
1, 1, 1, 6, 4, 1, 3, 11, 6, 1, 1, 10, 4, 5, 22, 30, 5, 53, 1, 7, 16, 3, 118, 174, 1, 52, 161, 8, 89, 1, 18, 31, 42, 171, 5, 18, 672, 43, 99, 3, 12, 128, 22, 124, 14, 273, 404, 6, 1, 278, 
1, 1, 1, 2, 1, 1, 1, 8, 1, 1, 1, 17, 14, 5, 3, 1, 5, 33, 80, 25, 1, 4, 2, 55, 1, 1, 49, 76, 65, 2, 5, 1, 192, 84, 56, 1, 1, 16, 9, 1, 1, 354, 1, 191, 66, 21, 20, 122, 18, 76, 
1, 1, 1, 1, 3, 1, 1, 1, 2, 9, 33, 7, 11, 2, 4, 1, 95, 10, 57, 1, 20, 34, 92, 121, 76, 73, 12, 1, 175, 2, 6, 299, 198, 14, 183, 76, 75, 4, 400, 2, 21, 97, 118, 425, 22, 108, 168, 475, 22, 41, 
1, 1, 1, 1, 1, 3, 5, 1, 2, 9, 5, 6, 14, 12, 26, 11, 24, 34, 11, 8, 121, 72, 6, 24, 74, 48, 61, 34, 69, 25, 99, 31, 2, 209, 121, 98, 1, 98, 186, 8, 62, 512, 66, 1, 1, 4, 18, 8, 4, 70, 
1, 1, 2, 1, 3, 5, 3, 2, 7, 33, 17, 3, 15, 1, 4, 2, 12, 45, 214, 20, 11, 1, 3, 59, 69, 25, 141, 71, 67, 77, 255, 1, 178, 68, 51, 216, 69, 262, 17, 144, 244, 1, 721, 381, 469, 263, 24, 3, 403, 21, 
1, 1, 1, 3, 1, 3, 1, 13, 16, 10, 6, 37, 4, 1, 7, 18, 34, 1, 1, 52, 7, 1, 32, 6, 17, 28, 9, 1, 3, 16, 189, 2, 36, 17, 3, 65, 117, 49, 877, 118, 173, 27, 237, 1, 494, 2, 171, 102, 12, 523, 
1, 1, 1, 2, 7, 4, 4, 13, 15, 7, 1, 55, 10, 2, 7, 1, 1, 1, 28, 90, 9, 69, 105, 4, 45, 187, 19, 149, 70, 161, 65, 80, 2, 3, 232, 179, 7, 115, 20, 117, 212, 56, 175, 430, 287, 15, 2, 303, 116, 5, 
1, 1, 1, 2, 1, 1, 7, 1, 1, 2, 1, 14, 1, 2, 22, 38, 32, 48, 22, 7, 38, 24, 6, 6, 107, 55, 46, 8, 49, 80, 233, 89, 115, 119, 148, 235, 2, 58, 186, 133, 27, 133, 42, 104, 61, 79, 334, 44, 227, 494, 
1, 1, 1, 1, 1, 2, 6, 6, 2, 26, 7, 12, 1, 3, 1, 39, 17, 3, 12, 180, 2, 5, 12, 102, 2, 59, 107, 49, 52, 55, 1, 17, 109, 31, 5, 120, 153, 305, 82, 1, 13, 69, 215, 74, 290, 191, 164, 375, 79, 3, 
1, 1, 1, 1, 2, 1, 7, 7, 1, 4, 1, 17, 4, 20, 24, 5, 66, 68, 20, 5, 1, 1, 27, 39, 20, 138, 1, 11, 2, 98, 163, 31, 90, 146, 161, 3, 215, 547, 268, 67, 22, 329, 332, 71, 95, 350, 331, 240, 164, 96, 
1, 1, 1, 2, 3, 1, 1, 3, 10, 18, 5, 1, 1, 1, 12, 26, 14, 82, 1, 29, 8, 58, 4, 51, 30, 32, 72, 84, 122, 12, 1, 30, 120, 4, 23, 9, 298, 84, 32, 30, 21, 371, 397, 385, 8, 71, 5, 259, 185, 34, 
1, 1, 1, 1, 2, 1, 1, 9, 5, 13, 24, 1, 69, 17, 5, 15, 1, 25, 90, 9, 3, 1, 5, 48, 21, 3, 8, 11, 365, 129, 42, 336, 63, 17, 162, 107, 10, 74, 5, 22, 225, 396, 348, 341, 137, 121, 410, 28, 379, 103, 
1, 1, 1, 1, 1, 8, 7, 1, 6, 15, 2, 28, 3, 24, 5, 18, 70, 10, 1, 10, 28, 58, 20, 6, 5, 35, 60, 99, 1, 12, 1, 4, 22, 51, 100, 173, 185, 22, 1, 12, 151, 419, 589, 48, 100, 116, 32, 91, 108, 449, 
1, 1, 1, 2, 1, 5, 1, 1, 2, 1, 1, 5, 1, 1, 14, 12, 1, 7, 10, 44, 32, 6, 10, 2, 49, 34, 126, 16, 31, 1, 1, 1, 237, 145, 115, 1, 48, 1, 121, 492, 34, 195, 183, 102, 112, 1012, 222, 649, 389, 7, 
1, 1, 1, 2, 2, 4, 1, 3, 1, 3, 13, 3, 13, 17, 17, 5, 11, 44, 43, 25, 2, 24, 100, 1, 75, 127, 121, 5, 6, 166, 1, 3, 8, 275, 9, 253, 264, 75, 65, 23, 14, 5, 20, 3, 2, 3, 12, 281, 63, 410, 
1, 1, 2, 1, 8, 1, 6, 4, 3, 1, 13, 4, 10, 12, 1, 6, 2, 1, 89, 7, 22, 2, 14, 125, 4, 56, 6, 12, 226, 340, 120, 73, 27, 1, 257, 69, 11, 155, 483, 279, 41, 27, 3, 106, 920, 406, 215, 203, 32, 20, 
1, 1, 1, 2, 1, 3, 2, 4, 1, 5, 21, 17, 14, 1, 1, 3, 51, 14, 7, 5, 2, 1, 1, 1, 5, 39, 147, 218, 9, 46, 112, 130, 63, 48, 4, 65, 4, 38, 254, 19, 346, 5, 1, 30, 551, 17, 53, 526, 102, 31, 
